Question ID,Question Order,Section,Question,Question Ontology - class and subclass,Question Ontology - individual,Answer ID,Answer Type (single choice multiple choice choice) select column,Answer,Answer Ontology individual,data type,time unit,range,choice,choice ontology,Parent Question,Parent Answer,required,PHI ,Picture
5,5,Demographics,Do you have American Indian or Alaska Native ancestrors?,race_name,AMERICAN_INDIAN_OR_ALASKA_NATIVE,2,single choice,No,,,,,,,,,,,
5,5,Demographics,Do you have American Indian or Alaska Native ancestrors?,race_name,AMERICAN_INDIAN_OR_ALASKA_NATIVE,3,single choice,Prefer not to answer,refused,,,,,,,,,,
6,6,Demographics,Do you have Black or African American ancestrors?,race_name,BLACK_OR_AFRICAN_AMERICAN,1,single choice,Yes,,,,,,,,,,,
6,6,Demographics,Do you have Black or African American ancestrors?,race_name,BLACK_OR_AFRICAN_AMERICAN,2,single choice,No,,,,,,,,,,,
6,6,Demographics,Do you have Black or African American ancestrors?,race_name,BLACK_OR_AFRICAN_AMERICAN,3,single choice,Prefer not to answer,refused,,,,,,,,,,
7,7,Demographics,Do you have White or Caucasian ancestrors?,race_name,WHITE,1,single choice,Yes,,,,,,,,,,,
7,7,Demographics,Do you have White or Caucasian ancestrors?,race_name,WHITE,2,single choice,No,,,,,,,,,,,
7,7,Demographics,Do you have White or Caucasian ancestrors?,race_name,WHITE,3,single choice,Prefer not to answer,refused,,,,,,,,,,
8,8,Demographics,Do you have Asian ancestrors?,race_name,ASIAN,1,single choice,Yes,,,,,,,,,,,
8,8,Demographics,Do you have Asian ancestrors?,race_name,ASIAN,2,single choice,No,,,,,,,,,,,
8,8,Demographics,Do you have Asian ancestrors?,race_name,ASIAN,3,single choice,Prefer not to answer,refused,,,,,,,,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,1,multiple choice,Asian Indian ,ASIAN_INDIAN ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,2,multiple choice,Bangladeshi ,BANGLADESHI ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,3,multiple choice,Bengalese,BENGALESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,4,multiple choice,Bharat ,BHARAT ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,5,multiple choice,Bhutanese,BHUTANESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,6,multiple choice,Burmese,BURMESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,7,multiple choice,Cambodian ,CAMBODIAN ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,8,multiple choice,Cantonese,CANTONESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,9,multiple choice,Chinese,CHINESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,10,multiple choice,Dravidian,DRAVIDIAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,11,multiple choice,East Indian ,EAST INDIAN ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,12,multiple choice,Filipino ,FILIPINO ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,13,multiple choice,Goanese,GOANESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,14,multiple choice,Hmong,HMONG,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,15,multiple choice,Indochinese,INDOCHINESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,16,multiple choice,Indonesian,INDONESIAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,17,multiple choice,Iwo Jiman,IWO JIMAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,18,multiple choice,Japanese,JAPANESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,19,multiple choice,Korean,KOREAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,20,multiple choice,Laohmong,LAOHMONG,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,21,multiple choice,Laotian,LAOTIAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,22,multiple choice,Malaysian,MALAYSIAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,23,multiple choice,Madagascar/Malagasy ,MADAGASCAR/MALAGASY ,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,24,multiple choice,Maldivian,MALDIVIAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,25,multiple choice,Mong,MONG,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,26,multiple choice,Nepalese,NEPALESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,27,multiple choice,Nipponese,NIPPONESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,28,multiple choice,Okinawan,OKINAWAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,29,multiple choice,Pakistani,PAKISTANI,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,30,multiple choice,Siamese,SIAMESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,31,multiple choice,Singaporean,SINGAPOREAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,32,multiple choice,Sri Lankan,SRI LANKAN,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,33,multiple choice,Taiwanese,TAIWANESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,34,multiple choice,Thai,THAI,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,35,multiple choice,Vietnamese,VIETNAMESE,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,36,multiple choice,Do not know ,do_not_know,,,,,,8,1,,,
9,1,Demographics,Where do your Asian ancestors come from? Check all that apply.,ancestrors_origin,ASIAN,37,multiple choice,Prefer not to answer,refused,,,,,,8,1,,,
10,10,Demographics,Do you have Native Hawaiian or Pacific Islander ancestrors?,race_name,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,1,single choice,Yes,,,,,,,,,,,
10,10,Demographics,Do you have Native Hawaiian or Pacific Islander ancestrors?,race_name,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,2,single choice,no ,,,,,,,,,,,
10,10,Demographics,Do you have Native Hawaiian or Pacific Islander ancestrors?,race_name,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,3,single choice,Prefer not to answer,refused,,,,,,,,,,
11,1,Demographics,Where do your Native Hawaiian or Pacific Islander ancestors come from?,ancestrors_origin,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,1,multiple choice,Native Hawaiian,NATIVE_HAWAIIAN,,,,,,10,1,,,
11,1,Demographics,Where do your Native Hawaiian or Pacific Islander ancestors come from?,ancestrors_origin,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,2,multiple choice,Guamanian Or Chamorro ,GUAMANIAN_OR_CHAMORRO ,,,,,,10,1,,,
11,1,Demographics,Where do your Native Hawaiian or Pacific Islander ancestors come from?,ancestrors_origin,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,3,multiple choice,Samoan,SAMOAN,,,,,,10,1,,,
11,1,Demographics,Where do your Native Hawaiian or Pacific Islander ancestors come from?,ancestrors_origin,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,4,multiple choice,Other Pacific Islander ,OTHER_PACIFIC_ISLANDER ,,,,,,10,1,,,
11,1,Demographics,Where do your Native Hawaiian or Pacific Islander ancestors come from?,ancestrors_origin,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,5,multiple choice,Do Not Know ,do_not_know,,,,,,10,1,,,
11,1,Demographics,Where do your Native Hawaiian or Pacific Islander ancestors come from?,ancestrors_origin,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,6,multiple choice,Prefer Not To Answer,refused,,,,,,10,1,,,
12,11,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,1,single choice,Yes,hispanic,,,,,,,,,,
12,11,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,2,single choice,No ,non-hispanic,,,,,,,,,,
12,11,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,3,single choice,Do not know ,do_not_know,,,,,,,,,,
12,11,Demographics,Do you consider yourself to be Hispanic or Latino or of Spanish origin? ,ethnicity,,4,single choice,Prefer not to answer,refused,,,,,,,,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,1,multiple choice,Mexican,MEXICAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,2,multiple choice,Puerto Rican,PUERTO RICAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,3,multiple choice,Cuban,CUBAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,4,multiple choice,Dominican Republic,DOMINICAN REPUBLIC,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,5,multiple choice,Costa Rican,COSTA RICAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,6,multiple choice,Guatemalan,GUATEMALAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,1,multiple choice,Honduran,HONDURAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,2,multiple choice,Nicaraguan,NICARAGUAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,3,multiple choice,Panamanian,PANAMANIAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,4,multiple choice,Salvadoran,SALVADORAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,5,multiple choice,Argentinean,ARGENTINEAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,6,multiple choice,Bolivian,BOLIVIAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,1,multiple choice,Chilean ,CHILEAN ,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,2,multiple choice,Colombian,COLOMBIAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,3,multiple choice,Ecuadorian,ECUADORIAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,4,multiple choice,Paraguayan,PARAGUAYAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,5,multiple choice,Peruvian,PERUVIAN,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,6,multiple choice,Do not know ,do_not_know,,,,,,12,1,,,
13,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,hispanic,7,multiple choice,Prefer not to answer,refused,,,,,,12,1,,,
14,1,Demographics,What is(are) your other ancestror(s):,ancestrors_origin,OTHER,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,14,1,,,
14,12,Demographics,Do you have any other ancestrors?,race_name,OTHER,1,single choice,Yes,,,,,,,,,,,
14,12,Demographics,Do you have any other ancestrors?,race_name,OTHER,2,single choice,no ,,,,,,,,,,,
14,12,Demographics,Do you have any other ancestrors?,race_name,OTHER,3,single choice,Prefer not to answer,refused,,,,,,,,,,
15,1,Chief Complaint ,Are you experiencing any problems with your sense of smell? ,symptoms ,orthonasal_smell ,1,single choice,Yes,,,,,,,,,,,
15,1,Chief Complaint ,Are you experiencing any problems with your sense of smell? ,symptoms ,orthonasal_smell ,2,single choice,No,,,,,,,,,,,
16,2,Chief Complaint ,Are you experiencing any problems with your ability to taste?,symptoms ,retronasal_smell taste,1,single choice,Yes,,,,,,,,,,,
16,2,Chief Complaint ,Are you experiencing any problems with your ability to taste?,symptoms,retronasal_smell taste,2,single choice,No,,,,,,,,,,,
17,2,Details about your symptoms,I have a reduced sensitivity to odors but I still can perceive certain smells. ,,hyposmia,1,single choice,Yes,,,,,,,,,,,
17,2,Details about your symptoms,I have a reduced sensitivity to odors but I still can perceive certain smells. ,,hyposmia,2,single choice,No,,,,,,,,,,,
18,1,Details about your symptoms,The following questions are focused on your partial loss of smell sensitivity. How long ago did this problem start? ,Onset_date,hyposmia,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,17,1,,,
19,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia,1,single choice,Progressively,progressive,,,,,,17,1,,,
19,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia,2,single choice,Suddenly,sudden,,,,,,17,1,,,
19,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia,3,single choice,I have no memories of being able to smell,No_memories_of_any_smells,,,,,,17,1,,,
19,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia,4,single choice,Do not know ,do_not_know,,,,,,17,1,,,
20,1,Details about your symptoms,Have you ever noticed that your ability to smell may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia,1,single choice,Yes - my sense of smell fluctuates,fluctuating,,,,,,17,1,,,
20,1,Details about your symptoms,Have you ever noticed that your ability to smell may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia,2,single choice,No - my sense of smell is constantly impaired,constant,,,,,,17,1,,,
20,1,Details about your symptoms,Have you ever noticed that your ability to smell may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia,3,single choice,Do not know ,do_not_know,,,,,,17,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,1,single choice,Hourly,hour,,,,,,20,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,2,single choice,Daily,day,,,,,,20,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,3,single choice,Weekly,week,,,,,,20,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,4,single choice,Monthly,month,,,,,,20,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,5,single choice,Yearly,year,,,,,,20,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,6,single choice,Do not know ,do_not_know,,,,,,20,1,,,
21,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia,7,single choice,It is irregular,irregular_fluctuation,,,,,,20,1,,,
22,1,Details about your symptoms,Is the partial loss of your sense of smell in one or both sides of your nose? ,laterality,hyposmia,1,single choice,Both sides,bilateral,,,,,,17,1,,,
22,1,Details about your symptoms,Is the partial loss of your sense of smell in one or both sides of your nose? ,laterality,hyposmia,2,single choice,Left side,unilateral_left,,,,,,17,1,,,
22,1,Details about your symptoms,Is the partial loss of your sense of smell in one or both sides of your nose? ,laterality,hyposmia,3,single choice,Right side,unilateral_right,,,,,,17,1,,,
22,1,Details about your symptoms,Is the partial loss of your sense of smell in one or both sides of your nose? ,laterality,hyposmia,4,single choice,Do not know ,do_not_know,,,,,,17,1,,,
23,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia,1,single choice,No change,no_change,,,,,,17,1,,,
23,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia,2,single choice,Better,better,,,,,,17,1,,,
23,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia,3,single choice,Worse,worse,,,,,,17,1,,,
23,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia,4,single choice,Do not know ,do_not_know,,,,,,17,1,,,
24,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,hyposmia,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,integer,range,,1 10,,,17,1,,,
25,1,Details about your symptoms,What makes your limited ability to smell worse? ,Exacerbating_factors,hyposmia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,17,1,,,
26,1,Details about your symptoms,What makes your limited ability to smell better?,Allievating_factors,hyposmia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,17,1,,,
27,1,Details about your symptoms,I am totally blind to any odors and I cannot perceive any smells.,,anosmia,1,single choice,Yes,,,,,,,,,,,
27,1,Details about your symptoms,I am totally blind to any odors and I cannot perceive any smells.,,anosmia,2,single choice,No,,,,,,,,,,,
28,1,Details about your symptoms,The following questions are focused on your complete insensitivity to odors. How long ago did this problem start? ,Onset_date,anosmia,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,27,1,,,
29,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia,1,single choice,Progressively,progressive,,,,,,27,1,,,
29,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia,2,single choice,Suddenly,sudden,,,,,,27,1,,,
29,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia,3,single choice,I have no memories of beeing able to smell. ,No_memories_of_any_smells,,,,,,27,1,,,
29,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia,4,single choice,Do not know ,do_not_know,,,,,,27,1,,,
30,1,Details about your symptoms,Have you ever noticed that your ability to smell may improve over a short or long period? ,symptoms_pattern_name,anosmia,1,single choice,Yes - my sense of smell fluctuates,fluctuating,,,,,,27,1,,,
30,1,Details about your symptoms,Have you ever noticed that your ability to smell may improve over a short or long period? ,symptoms_pattern_name,anosmia,2,single choice,No - I am constantly unable to smell,constant,,,,,,27,1,,,
30,1,Details about your symptoms,Have you ever noticed that your ability to smell may improve over a short or long period? ,symptoms_pattern_name,anosmia,3,single choice,Do not know ,do_not_know,,,,,,27,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,1,single choice,Hourly,hour,,,,,,30,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,2,single choice,Daily,day,,,,,,30,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,3,single choice,Weekly,week,,,,,,30,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,4,single choice,Monthly,month,,,,,,30,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,5,single choice,Yearly,year,,,,,,30,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,6,single choice,Do not know ,do_not_know,,,,,,30,1,,,
31,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia,7,single choice,It is irregular,irregular_fluctuation,,,,,,30,1,,,
32,1,Details about your symptoms,Is the absence of smell sensitivity in one or both sides of your nose? ,laterality,anosmia,1,single choice,Both sides,bilateral,,,,,,27,1,,,
32,1,Details about your symptoms,Is the absence of smell sensitivity in one or both sides of your nose? ,laterality,anosmia,2,single choice,Left side,unilateral_left,,,,,,27,1,,,
32,1,Details about your symptoms,Is the absence of smell sensitivity in one or both sides of your nose? ,laterality,anosmia,3,single choice,Right side,unilateral_right,,,,,,27,1,,,
32,1,Details about your symptoms,Is the absence of smell sensitivity in one or both sides of your nose? ,laterality,anosmia,4,single choice,Do not know ,do_not_know,,,,,,27,1,,,
33,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia,1,single choice,No change,no_change,,,,,,27,1,,,
33,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia,2,single choice,Better,better,,,,,,27,1,,,
33,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia,3,single choice,Worse,worse,,,,,,27,1,,,
33,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia,4,single choice,Do not know ,do_not_know,,,,,,27,1,,,
34,1,Details about your symptoms,What makes your inability to smell worse? ,Exacerbating_factors,anosmia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,27,1,,,
35,1,Details about your symptoms,What makes your inability to smell better? ,Allievating_factors,anosmia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,27,1,,,
36,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,anosmia,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,,range,,1 10,,,27,1,,,
37,3,Details about your symptoms,I am more sensitive to odors in general than I used to be.,,hyperosmia,1,single choice,Yes,,,,,,,,,,,
37,3,Details about your symptoms,I am more sensitive to odors in general than I used to be.,,hyperosmia,2,single choice,No,,,,,,,,,,,
38,1,Details about your symptoms,The following questions are focused on your increased sensitivity to odors. How long ago did this problem start? ,Onset_date,hyperosmia,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,37,1,,,
39,1,Details about your symptoms,How fast was the onset?,onset_speed,hyperosmia,1,single choice,Progressively,progressive,,,,,,37,1,,,
39,1,Details about your symptoms,How fast was the onset?,onset_speed,hyperosmia,2,single choice,Suddenly,sudden,,,,,,37,1,,,
