Question ID,Question Order,Section,Question,Question Ontology - class and subclass,Question Ontology - individual,Answer ID,Answer Type (single choice multiple choice choice) select column,Answer,Answer Ontology individual,data type,range,choice,choice ontology,Parent Question,Parent Answer,required,PHI ,Picture
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,1,multiple choice,AMERICAN INDIAN OR ALASKA NATIVE,AMERICAN_INDIAN_OR_ALASKA_NATIVE,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,2,multiple choice,ASIAN,ASIAN,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,3,multiple choice,BLACK OR AFRICAN AMERICAN,BLACK_OR_AFRICAN_AMERICAN,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,4,multiple choice,NATIVE HAWAIIAN OR PACIFIC ISLANDER ,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,5,multiple choice,more than one race,OTHER,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,6,multiple choice,WHITE,WHITE,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,7,multiple choice,Do not know ,do_not_know,,,,,,,,,
7,7,Demographics,What race or races do you consider yourself to be? Please select one or more.,race_name,,8,multiple choice,Refused,refused,,,,,,,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,1,multiple choice,ASIAN INDIAN ,ASIAN_INDIAN ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,2,multiple choice,BANGLADESHI ,BANGLADESHI ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,3,multiple choice,BENGALESE,BENGALESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,4,multiple choice,BHARAT ,BHARAT ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,5,multiple choice,BHUTANESE,BHUTANESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,6,multiple choice,BURMESE,BURMESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,7,multiple choice,CAMBODIAN ,CAMBODIAN ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,8,multiple choice,CANTONESE,CANTONESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,9,multiple choice,CHINESE,CHINESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,10,multiple choice,DRAVIDIAN,DRAVIDIAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,11,multiple choice,EAST INDIAN ,EAST INDIAN ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,12,multiple choice,FILIPINO ,FILIPINO ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,13,multiple choice,GOANESE,GOANESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,14,multiple choice,HMONG,HMONG,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,15,multiple choice,INDOCHINESE,INDOCHINESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,16,multiple choice,INDONESIAN,INDONESIAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,17,multiple choice,IWO JIMAN,IWO JIMAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,18,multiple choice,JAPANESE,JAPANESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,19,multiple choice,KOREAN,KOREAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,20,multiple choice,LAOHMONG,LAOHMONG,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,21,multiple choice,LAOTIAN,LAOTIAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,22,multiple choice,MALAYSIAN,MALAYSIAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,23,multiple choice,MADAGASCAR/MALAGASY ,MADAGASCAR/MALAGASY ,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,24,multiple choice,MALDIVIAN,MALDIVIAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,25,multiple choice,MONG,MONG,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,26,multiple choice,NEPALESE,NEPALESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,27,multiple choice,NIPPONESE,NIPPONESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,28,multiple choice,OKINAWAN,OKINAWAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,29,multiple choice,PAKISTANI,PAKISTANI,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,30,multiple choice,SIAMESE,SIAMESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,31,multiple choice,SINGAPOREAN,SINGAPOREAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,32,multiple choice,SRI LANKAN,SRI LANKAN,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,33,multiple choice,TAIWANESE,TAIWANESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,34,multiple choice,THAI,THAI,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,35,multiple choice,VIETNAMESE,VIETNAMESE,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,36,multiple choice,Do not know ,do_not_know,,,,,7,2,,,
8,1,Demographics,Where do your asian ancestors come from? Check all that apply.,ancestrors_origin,,37,multiple choice,Refused,refused,,,,,7,2,,,
9,1,Demographics,Where do your native hawaiian or pacific islander ancestors come from?,ancestrors_origin,,1,multiple choice,NATIVE HAWAIIAN,NATIVE_HAWAIIAN,,,,,7,4,,,
9,1,Demographics,Where do your native hawaiian or pacific islander ancestors come from?,ancestrors_origin,,2,multiple choice,GUAMANIAN OR CHAMORRO ,GUAMANIAN_OR_CHAMORRO ,,,,,7,4,,,
9,1,Demographics,Where do your native hawaiian or pacific islander ancestors come from?,ancestrors_origin,,3,multiple choice,SAMOAN,SAMOAN,,,,,7,4,,,
9,1,Demographics,Where do your native hawaiian or pacific islander ancestors come from?,ancestrors_origin,,4,multiple choice,OTHER PACIFIC ISLANDER ,OTHER_PACIFIC_ISLANDER ,,,,,7,4,,,
9,1,Demographics,Where do your native hawaiian or pacific islander ancestors come from?,ancestrors_origin,,5,multiple choice,Do not know ,do_not_know,,,,,7,4,,,
9,1,Demographics,Where do your native hawaiian or pacific islander ancestors come from?,ancestrors_origin,,6,multiple choice,refused,refused,,,,,7,4,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,1,multiple choice,MEXICAN,MEXICAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,2,multiple choice,PUERTO RICAN,PUERTO RICAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,3,multiple choice,CUBAN,CUBAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,4,multiple choice,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,5,multiple choice,COSTA RICAN,COSTA RICAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,6,multiple choice,GUATEMALAN,GUATEMALAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,1,multiple choice,HONDURAN,HONDURAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,2,multiple choice,NICARAGUAN,NICARAGUAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,3,multiple choice,PANAMANIAN,PANAMANIAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,4,multiple choice,SALVADORAN,SALVADORAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,5,multiple choice,ARGENTINEAN,ARGENTINEAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,6,multiple choice,BOLIVIAN,BOLIVIAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,1,multiple choice,CHILEAN ,CHILEAN ,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,2,multiple choice,COLOMBIAN,COLOMBIAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,3,multiple choice,ECUADORIAN,ECUADORIAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,4,multiple choice,PARAGUAYAN,PARAGUAYAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,5,multiple choice,PERUVIAN,PERUVIAN,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,6,multiple choice,Do not know ,do_not_know,,,,,6,1,,,
10,1,Demographics,Where do your hispanic ancestors come from? ,ancestrors_origin,,7,multiple choice,refused,refused,,,,,6,1,,,
11,1,Chief Complaint ,Are you experiencing any problems with your sense of smell? ,symptoms ,orthonasal_smell ,1,single choice,Yes,,,,,,,,,,
11,1,Chief Complaint ,Are you experiencing any problems with your sense of smell? ,symptoms ,orthonasal_smell ,2,single choice,No,,,,,,,,,,
12,2,Chief Complaint ,Are you experiencing any problems with your ability to taste?,symptoms ,retronasal_smell taste,1,single choice,yes,,,,,,,,,,
12,2,Chief Complaint ,Are you experiencing any problems with your ability to taste?,symptoms,retronasal_smell taste,2,single choice,no,,,,,,,,,,
13,1,History of illness ,I have completely lost my sense of smell and I cannot smell anything.,,anosmia,1,single choice,Yes,,,,,,,,,,
13,1,History of illness ,I have completely lost my sense of smell and I cannot smell anything.,,anosmia,2,single choice,No,,,,,,,,,,
14,1,History of illness ,When did this problem start? ,Onset_date,anosmia,1,,It approximately started on:,DateTime,,,,,13,1,,,
15,1,History of illness ,How fast was the onset ?,onset_speed,anosmia,1,single choice,progressively,progressive,,,,,13,1,,,
15,1,History of illness ,How fast was the onset ?,onset_speed,anosmia,2,single choice,suddenly,sudden,,,,,13,1,,,
15,1,History of illness ,How fast was the onset ?,onset_speed,anosmia,3,single choice,I think I was born without a sense of smell because I have no memories of beeing able to smell. ,No_memories_of_any_smells,,,,,13,1,,,
15,1,History of illness ,How fast was the onset ?,onset_speed,anosmia,4,single choice,Do not know ,do_not_know,,,,,13,1,,,
16,1,History of illness ,Have you ever noticed that your ability to smell may improve over a short or long period? ,symptoms_pattern_name,anosmia,1,single choice,Yes - my sense of smell fluctuates,fluctuating,,,,,13,1,,,
16,1,History of illness ,Have you ever noticed that your ability to smell may improve over a short or long period? ,symptoms_pattern_name,anosmia,2,single choice,No - I am constantly unable to smell,constant,,,,,13,1,,,
16,1,History of illness ,Have you ever noticed that your ability to smell may improve over a short or long period? ,symptoms_pattern_name,anosmia,3,single choice,Do not know ,do_not_know,,,,,13,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,1,single choice,hourly,hour,,,,,16,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,2,single choice,daily,day,,,,,16,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,3,single choice,weekly,week,,,,,16,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,4,single choice,monthly,month,,,,,16,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,5,single choice,yearly,year,,,,,16,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,6,single choice,Do not know ,do_not_know,,,,,16,1,,,
17,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating anosmia,7,single choice,it is irregular,irregular_fluctuation,,,,,16,1,,,
18,1,History of illness ,Is the loss of your sense of smell in one or both side of the nose? ,laterality,anosmia,1,single choice,Both side,bilateral,,,,,13,1,,,
18,1,History of illness ,Is the loss of your sense of smell in one or both side of the nose? ,laterality,anosmia,2,single choice,Left side,unilateral_left,,,,,13,1,,,
18,1,History of illness ,Is the loss of your sense of smell in one or both side of the nose? ,laterality,anosmia,3,single choice,Right side,unilateral_right,,,,,13,1,,,
18,1,History of illness ,Is the loss of your sense of smell in one or both side of the nose? ,laterality,anosmia,4,single choice,Do not know ,do_not_know,,,,,13,1,,,
19,1,History of illness ,How has the situation changed since the beginning ?,Evolution,anosmia,1,single choice,No change,no_change,,,,,13,1,,,
19,1,History of illness ,How has the situation changed since the beginning ?,Evolution,anosmia,2,single choice,Better,better,,,,,13,1,,,
19,1,History of illness ,How has the situation changed since the beginning ?,Evolution,anosmia,3,single choice,Worse,worse,,,,,13,1,,,
19,1,History of illness ,How has the situation changed since the beginning ?,Evolution,anosmia,4,single choice,Do not know ,do_not_know,,,,,13,1,,,
20,1,History of illness ,What makes your condition worse? ,Exacerbating_factors,anosmia,1,,Please describe it here: ,,text,,,,13,1,,,
21,1,History of illness ,What makes your condition better? ,Allievating_factors,anosmia,1,,Please describe it here: ,,,,,,13,1,,,
22,1,History of illness ,How does this problem affect your quality of life ?,effect_on_quality_of_life,anosmia,1,,Please use a scale ranging from 1 (Not at all) to 10 (very badly):,,range,10-Jan,,,13,1,,,
23,2,History of illness ,I am less sensitive to odors than I used to be  - but I still can perceive certain smells,,hyposmia,1,single choice,Yes,,,,,,,,,,
23,2,History of illness ,I am less sensitive to odors than I used to be  - but I still can perceive certain smells,,hyposmia,2,single choice,No,,,,,,,,,,
24,1,History of illness ,When did this problem start? ,Onset_date,hyposmia,1,,,DateTime,datetime,,,,23,1,,,
25,1,History of illness ,How fast was the onset ?,onset_speed,hyposmia,1,single choice,progressively,progressive,,,,,23,1,,,
25,1,History of illness ,How fast was the onset ?,onset_speed,hyposmia,2,single choice,suddenly,sudden,,,,,23,1,,,
25,1,History of illness ,How fast was the onset ?,onset_speed,hyposmia,3,single choice,I have no memories about any smells,No_memories_of_any_smells,,,,,23,1,,,
25,1,History of illness ,How fast was the onset ?,onset_speed,hyposmia,4,single choice,Do not know ,do_not_know,,,,,23,1,,,
26,1,History of illness ,Have you ever noticed that your ability to smell may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia,1,single choice,Yes - my sense of smell fluctuates,fluctuating,,,,,23,1,,,
26,1,History of illness ,Have you ever noticed that your ability to smell may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia,2,single choice,No - my sense of smell is constantly impaired,constant,,,,,23,1,,,
26,1,History of illness ,Have you ever noticed that your ability to smell may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia,3,single choice,Do not know ,do_not_know,,,,,23,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,1,single choice,hourly,hour,,,,,26,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,2,single choice,daily,day,,,,,26,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,3,single choice,weekly,week,,,,,26,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,4,single choice,monthly,month,,,,,26,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,5,single choice,yearly,year,,,,,26,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,6,single choice,Do not know ,do_not_know,,,,,26,1,,,
27,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyposmia,7,single choice,it is irregular,irregular_fluctuation,,,,,26,1,,,
28,1,History of illness ,Did you lost your sense of smell in one or both side of the nose? ,laterality,hyposmia,1,single choice,Both side,bilateral,,,,,23,1,,,
28,1,History of illness ,Did you lost your sense of smell in one or both side of the nose? ,laterality,hyposmia,2,single choice,Left side,unilateral_left,,,,,23,1,,,
28,1,History of illness ,Did you lost your sense of smell in one or both side of the nose? ,laterality,hyposmia,3,single choice,Right side,unilateral_right,,,,,23,1,,,
28,1,History of illness ,Did you lost your sense of smell in one or both side of the nose? ,laterality,hyposmia,4,single choice,Do not know ,do_not_know,,,,,23,1,,,
29,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyposmia,1,single choice,No change,no_change,,,,,23,1,,,
29,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyposmia,2,single choice,Better,better,,,,,23,1,,,
29,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyposmia,3,single choice,Worse,worse,,,,,23,1,,,
29,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyposmia,4,single choice,Do not know ,do_not_know,,,,,23,1,,,
30,1,History of illness ,How does this problem affect your quality of life?,effect_on_quality_of_life,hyposmia,1,,Please use a scale ranging from 1 (Not at all) to 10 (very badly):,integer,range,10-Jan,,,23,1,,,
31,1,History of illness ,What makes your condition worse? ,Exacerbating_factors,hyposmia,1,,Please describe it here: ,,text,,,,23,1,,,
32,1,History of illness ,What makes your condition better? ,Allievating_factors,hyposmia,1,,Please describe it here: ,,text,,,,23,1,,,
33,3,History of illness ,I am more sensitive to odors than I used to be.,,hyperosmia,1,single choice,Yes,,,,,,,,,,
33,3,History of illness ,I am more sensitive to odors than I used to be.,,hyperosmia,2,single choice,No,,,,,,,,,,
34,1,History of illness ,When did this problem start? ,Onset_date,hyperosmia,1,,It approximately started on:,DateTime,datetime,,,,33,1,,,
35,1,History of illness ,How fast was the onset ?,onset_speed,hyperosmia,1,single choice,progressively,progressive,,,,,33,1,,,
35,1,History of illness ,How fast was the onset ?,onset_speed,hyperosmia,2,single choice,suddenly,sudden,,,,,33,1,,,
35,1,History of illness ,How fast was the onset ?,onset_speed,hyperosmia,3,single choice,I have no memories about any smells,No_memories_of_any_smells,,,,,33,1,,,
35,1,History of illness ,How fast was the onset ?,onset_speed,hyperosmia,4,single choice,Do not know ,do_not_know,,,,,33,1,,,
36,1,History of illness ,Have you ever noticed that your smell acuity return back to normal over a short or long period of time? ,symptoms_pattern_name,hyperosmia,1,single choice,Yes - my sense of smell fluctuates,fluctuating,,,,,33,1,,,
36,1,History of illness ,Have you ever noticed that your smell acuity return back to normal over a short or long period of time? ,symptoms_pattern_name,hyperosmia,2,single choice,No - my sense of smell is constantly impaired,constant,,,,,33,1,,,
36,1,History of illness ,Have you ever noticed that your smell acuity return back to normal over a short or long period of time? ,symptoms_pattern_name,hyperosmia,3,single choice,Do not know ,do_not_know,,,,,33,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,1,single choice,hourly,hour,,,,,36,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,2,single choice,daily,day,,,,,36,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,3,single choice,weekly,week,,,,,36,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,4,single choice,monthly,month,,,,,36,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,5,single choice,yearly,year,,,,,36,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,6,single choice,Do not know ,do_not_know,,,,,36,1,,,
37,1,History of illness ,How frequently does it fluctuates?,Unit_of_time,fluctuating hyperosmia,7,single choice,it is irregular,irregular_fluctuation,,,,,36,1,,,
38,1,History of illness ,Is the hypersensitivity to  smell occuring on one or both side of the nose? ,laterality,hyperosmia,1,single choice,Both side,bilateral,,,,,33,1,,,
38,1,History of illness ,Is the hypersensitivity to  smell occuring on one or both side of the nose? ,laterality,hyperosmia,2,single choice,Left side,unilateral_left,,,,,33,1,,,
38,1,History of illness ,Is the hypersensitivity to  smell occuring on one or both side of the nose? ,laterality,hyperosmia,3,single choice,Right side,unilateral_right,,,,,33,1,,,
38,1,History of illness ,Is the hypersensitivity to  smell occuring on one or both side of the nose? ,laterality,hyperosmia,4,single choice,Do not know ,do_not_know,,,,,33,1,,,
39,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyperosmia,1,single choice,No change,no_change,,,,,33,1,,,
39,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyperosmia,2,single choice,Better,better,,,,,33,1,,,
39,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyperosmia,3,single choice,Worse,worse,,,,,33,1,,,
39,1,History of illness ,How has the situation changed since the beginning ?,Evolution,hyperosmia,4,single choice,Do not know ,do_not_know,,,,,33,1,,,
40,1,History of illness ,How does this problem affect your quality of life?,effect_on_quality_of_life,hyperosmia,1,,Please use a scale ranging from 1 (Not at all) to 10 (very badly):,integer,range,10-Jan,,,33,1,,,
41,1,History of illness ,What makes your condition worse? ,Exacerbating_factors,hyperosmia,1,,Please describe it here: ,,text,,,,33,1,,,
42,1,History of illness ,What makes your condition better? ,Allievating_factors,hyperosmia,1,,Please describe it here: ,,text,,,,33,1,,,
43,4,History of illness ,I cannot stand certain types of odors anymore. ,,Olfactory_intolerence,1,single choice,Yes,,,,,,,,,,
43,4,History of illness ,I cannot stand certain types of odors anymore. ,,Olfactory_intolerence,2,single choice,No,,,,,,,,,,
44,1,History of illness ,What happened when you smell them? ,quality_descriptor ,Olfactory_intolerence,1,multiple choice,nausea,nausea,,,,,43,1,,,
44,1,History of illness ,What happened when you smell them? ,quality_descriptor ,Olfactory_intolerence,2,multiple choice,vomiting,vomiting,,,,,43,1,,,
44,1,History of illness ,What happened when you smell them? ,quality_descriptor ,Olfactory_intolerence,3,multiple choice,nasal irritation,irritating,,,,,43,1,,,
44,1,History of illness ,What happened when you smell them? ,quality_descriptor ,Olfactory_intolerence,4,multiple choice,headache,headache,,,,,43,1,,,
44,1,History of illness ,What happened when you smell them? ,quality_descriptor ,Olfactory_intolerence,5,multiple choice,allergic reaction,allergic_reaction,,,,,43,1,,,
44,1,History of illness ,What happened when you smell them? ,quality_descriptor ,Olfactory_intolerence,6,multiple choice,other,,,,,,43,1,,,
45,1,History of illness ,Please describe what other reaction happened when you smell them? ,quality_descriptor ,Olfactory_intolerence other,1,,Type here:,,text,,,,44,6,,,
46,1,History of illness ,What type of allergic reaction? ,allergic_reaction ,Olfactory_intolerence,1,multiple choice,abdominal cramps,abdominal_cramps,,,,,44,5,,,
46,1,History of illness ,What type of allergic reaction? ,allergic_reaction ,Olfactory_intolerence,2,multiple choice,oral cavity swelling,angioedema_oral_cavity,,,,,44,5,,,
46,1,History of illness ,What type of allergic reaction? ,allergic_reaction ,Olfactory_intolerence,3,multiple choice,redness of the eye,conjunctival_erythema,,,,,44,5,,,
46,1,History of illness ,What type of allergic reaction? ,allergic_reaction ,Olfactory_intolerence,4,multiple choice,cough,cough,,,,,44,5,,,
46,1,History of illness ,What type of allergic reaction? ,allergic_reaction ,Olfactory_intolerence,5,multiple choice,diahrrea,diahrrea,,,,,44,5,,,
